date,sal_con, sal_CO2,sal_CAOH,sal_CO2NAOH,sal_CO2CAOH,ph_con, ph_CO2,ph_CAOH,ph_CO2NAOH,ph_CO2CAOH,alk_con, alk_CO2,alk_CAOH,alk_CO2NAOH,alk_CO2CAOH
1,32.93,32.94,33.14,32.92,32.84,7.877400186,7.657400186,7.87400186,7.697400186,7.657400186,2293.787303,2288.9336,2289.3336,2288.8936,2278.129902
2,33.06,33.03,33.08,33.13,32.83,7.902462095,7.632462095,7.882462095,7.632462095,7.632462095,2185.914222,2209.777538,2209.827538,2209.877538,2170.28176
3,33.08,33,33.1,33.13,32.9,7.864696155,7.644696155,7.844696155,7.614696155,7.644696155,2318.66785,2302.990304,2303.090304,2303.120304,2303.023154
4,33.09,33,33.08,33.14,33.03,7.815210605,7.605210605,7.825210605,7.665210605,7.675210605,2087.473702,2279.585789,2279.665789,2279.722789,2171.798492
5,33.1,33,32.86,33.1,33.01,7.790276423,7.690276423,7.830276423,7.690276423,7.680276423,2237.949034,2239.223722,2239.092722,2239.332722,2232.228757
6,33.1,33,32.84,33.11,33,7.84939683,7.64939683,7.80939683,7.63939683,7.64939683,2103.772153,2198.622603,2098.466603,2198.736603,2088.022756
7,33.11,32.99,32.92,33.1,32.96,7.845400189,7.665400189,7.835400189,7.655400189,7.695400189,2144.503303,2239.6966,2239.6226,2239.8066,2128.707902
8,33.09,33,33.19,32.86,32.98,7.887400303,7.677400303,7.787400303,7.617400303,7.697400303,2153.122322,2285.729147,2291.522122,2292.103099,2137.322832
9,33.11,32.94,33.16,32.87,32.95,7.866454817,7.636454817,7.816454817,7.606454817,7.626454817,2298.92856,2143.789198,2238.888475,2248.777752,2283.302105
10,33.1,33.03,33.18,32.9,32.85,7.826295132,7.696295132,7.746295132,7.626295132,7.676295132,2149.429123,2188.112214,2285.100378,2286.658443,2133.752831
11,33.12,32.95,33.11,33.15,32.85,7.783775486,7.653775486,7.793775486,7.653775486,7.653775486,2232.092237,2288.462111,2293.653152,2293.724192,2209.438591
12,33.11,32.95,33.11,33.16,32.94,7.856830943,7.616830943,7.856830943,7.606830943,7.626830943,2103.22381,2243.356805,2240.661642,2242.956478,2187.596979
13,33.09,32.95,33.1,33.17,33.07,7.843027844,7.783027844,7.933027844,7.663027844,7.663027844,2289.742967,2292.48424,2288.192957,2279.221674,2274.079939
14,33.08,32.95,32.88,33.14,33.04,7.855801826,7.685801826,7.855801826,7.695801826,7.695801826,2224.382992,2232.192287,2297.300522,2208.438663,2208.68719
15,33.08,32.95,32.95,33.14,33.04,7.924321144,7.624321144,7.934321144,7.734321144,7.734321144,2223.309,2222.306952,2314.724547,2251.730187,2253.735827
16,33.08,32.95,32.94,33.13,33,7.920716603,7.620716603,8.030716603,7.780716603,7.780716603,2298.156,2225.725604,2353.042579,2300.653814,2303.26505
17,33.08,32.94,33.25,32.87,33.02,7.887163281,7.687163281,8.097163281,7.817163281,7.817163281,2229.258,2295.871348,2412.508743,2359.12828,2360.747817
18,33.07,32.94,33.22,32.87,33,7.900256947,7.600256947,8.150256947,7.860256947,7.860256947,2229.711,2215.76178,2468.764117,2414.862488,2425.96086
19,33.1,33.03,33.25,32.87,32.85,7.953108062,7.653108062,8.203108062,7.903108062,7.903108062,2224.607,2222.37448,2542.893446,2518.668447,2529.443448
20,33.1,33.01,33.17,33.2,32.89,7.937851881,7.637851881,8.247851881,7.947851881,7.947851881,2201.8,2208.756742,2593.188348,2620.158559,2592.12877
21,33.1,33,33.17,33.21,32.93,7.929145998,7.629145998,8.239145998,7.939145998,7.939145998,2227.43,2283.936853,2625.198636,2691.713746,2703.228857
22,33.1,33.01,33.15,33.21,33.09,7.928628591,7.628628591,8.238628591,7.938628591,7.938628591,2288.904,2215.449726,2670.902165,2617.443881,2528.985597
23,33.1,33,32.87,33.18,33.04,7.878995261,7.678995261,8.188995261,7.888995261,7.888995261,2289.674,2246.158701,2709.884723,2716.386802,2727.888881
24,33.11,33,32.95,33.17,33.07,7.903423201,7.603423201,8.213423201,7.913423201,7.913423201,2274.455,2281.550002,2663.452298,2610.598449,2622.744601
25,33.07,33,32.93,33.16,33.02,7.929961775,7.629961775,8.239961775,7.939961775,7.939961775,2228.222,2235.55999,2718.521502,2685.897363,2698.273224
26,33.07,33,33.26,32.85,33.04,7.93012616,7.63012616,8.24012616,7.94012616,7.94012616,2268.894,2276.290944,2686.861045,2624.28283,2636.704615
27,33.07,33,33.24,32.86,33.02,7.913504814,7.613504814,8.223504814,7.923504814,7.923504814,2278.925,2285.617964,2700.5809,2687.295105,2699.00931
28,33.07,33.03,33.27,32.92,32.85,7.909383748,7.609383748,8.219383748,7.919383748,7.919383748,2251.403,2207.25558,2655.150543,2661.008817,2671.867091
29,33.07,33.07,33.18,33.08,32.9,7.887856597,7.687856597,8.197856597,7.897856597,7.897856597,2249.285,2257.128008,2727.085079,2734.969001,2747.852923
30,33.08,33.02,33.18,33.08,32.92,7.901887501,7.601887501,8.211887501,7.911887501,7.911887501,2278.63,2285.974375,2666.708184,2614.084644,2626.461104
31,33.04,33.02,33.16,33.05,33.15,7.858697927,7.658697927,8.168697927,7.868697927,7.868697927,2268.278,2273.982418,2702.604094,2686.34747,2695.090847
32,33.04,33.02,32.86,33.06,33.11,7.840801446,7.640801446,8.150801446,7.850801446,7.850801446,2221.016,2228.471286,2689.518931,2567.033014,2579.547096
33,33.05,33.01,32.95,33.05,33.12,7.855305915,7.655305915,8.165305915,7.865305915,7.865305915,2251.671,2259.225385,2700.676785,2708.241999,2720.807214
34,33.04,33.01,32.92,33.05,33.06,7.852904664,7.652904664,8.162904664,7.862904664,7.862904664,2229.94,2233.727917,2670.340885,2625.172261,2635.003637
35,33.04,32.99,33.04,32.88,33.08,7.88439166,7.68439166,8.19439166,7.89439166,7.89439166,2259.089,2265.015952,2728.188589,2734.137375,2745.086161
36,33.05,33.03,33.08,32.88,33.06,7.888040505,7.688040505,8.198040505,7.898040505,7.898040505,2245.986,2221.941489,2687.787505,2623.736451,2634.685397
37,33.1,33.07,33.08,32.95,32.86,7.911077195,7.611077195,8.221077195,7.921077195,7.921077195,2249.137,2286.865149,2728.519632,2736.307209,2749.094786
38,33.09,33.04,33.05,33.12,32.92,7.948802267,7.648802267,8.258802267,7.958802267,7.958802267,2279.075,2236.257024,2646.125063,2622.301364,2533.477665
39,33.1,33.06,33.05,33.09,32.92,7.921318254,7.621318254,8.231318254,7.931318254,7.931318254,2252.349,2257.631634,2709.712426,2714.982115,2725.251805
40,33.09,33.06,33.04,33.08,33.15,7.946859307,7.646859307,8.256859307,7.956859307,7.956859307,2253.496,2260.091359,2655.496166,2602.101051,2613.705935
41,33.09,33.04,32.86,33.09,33.14,7.928410557,7.628410557,8.238410557,7.938410557,7.938410557,2260.634,2265.286022,2747.68646,2702.386016,2712.085572
42,33.09,33.03,32.86,33.08,33.14,7.933225282,7.633225282,8.243225282,7.943225282,7.943225282,2292.001,2296.469807,2653.739542,2658.254429,2567.769316
43,33.01,32.98,32.92,33.08,33.08,7.893908351,7.693908351,8.203908351,7.903908351,7.903908351,2207.705,2294.046181,2735.021445,2741.412325,2752.803205
44,32.99,32.99,33.12,32.88,33.1,7.892771646,7.692771646,8.202771646,7.902771646,7.902771646,2235.646,2242.509448,2652.216836,2609.060771,2620.904707
45,33.01,33.03,33.1,32.88,33.1,7.891634941,7.691634941,8.201634941,7.901634941,7.901634941,2225.857,2222.992972,2769.675571,2675.830571,2786.985571
46,33.01,33.1,33.11,32.93,33.1,7.962462095,7.662462095,8.272462095,7.972462095,7.972462095,2238.939,2202.683252,2697.538244,2601.339524,2610.140804
47,33.01,33.08,33.08,33.2,33.1,7.944696155,7.644696155,8.254696155,7.954696155,7.954696155,2238.933,2272.935845,2755.237537,2689.292751,2798.347966
48,33.01,33.1,33.08,33.12,32.92,7.905210605,7.605210605,8.215210605,7.915210605,7.915210605,2295.312,2200.628066,2658.385743,2613.724849,2624.063954
49,33.01,33.1,33.08,33.12,32.82,7.926034956,7.626034956,8.236034956,7.936034956,7.936034956,2274.404,2230.359713,2656.940955,2607.91295,2618.884945
